URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_280_V_TC_46/1560,4002,437,1532/pct:40/0/default.jpg",,,,,49,280 V,1560,4002,437,1532,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_070_R_TC_46/2,765,217,357/pct:40/0/default.jpg",,,,,628,70 R,2,765,217,357,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_178_R_TC_46/285,1615,285,412/pct:40/0/default.jpg",,,,,327,178 R,285,1615,285,412,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_098_V_TC_46/792,3280,330,870/pct:40/0/default.jpg",,,,,463,98 V,792,3280,330,870,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_66_V_TC_46/1755,965,452,1000/pct:40/0/default.jpg",,,,,83,66 V,1755,965,452,1000,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_179_V_TC_46/660,1140,625,2007/pct:40/0/default.jpg",,,,,50,179 V,660,1140,625,2007,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_342_V_TC_46/1325,4912,612,1775/pct:40/0/default.jpg",,,,,271,342 V,1325,4912,612,1775,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_059_R_TC_46/425,4222,267,637/pct:40/0/default.jpg",,,,,29,59 R,425,4222,267,637,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_110_V_TC_46/3410,4147,477,1587/pct:40/0/default.jpg",,,,,49,110 V,3410,4147,477,1587,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_269_V_TC_46/3242,572,450,1840/pct:40/0/default.jpg",,,,,271,269 V,3242,572,450,1840,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_107_R_TC_46/2495,6370,635,767/pct:40/0/default.jpg",,,,,22,107 R,2495,6370,635,767,

